ip_range,ports,country_code,responses,datetime
58.80.0.0-58.81.255.255,"19132,25565",JP,0,2025-01-23 20:00:49.574818
58.12.0.0-58.13.255.255,"19132,25565",JP,0,2025-01-23 20:05:17.548627
165.241.0.0-165.242.255.255,"19132,25565",JP,0,2025-01-23 20:09:44.584895
183.180.0.0-183.181.255.255,"19132,25565",JP,0,2025-01-23 20:14:11.883281
54.64.0.0-54.65.255.255,"19132,25565",JP,1,2025-01-23 20:18:39.979224
166.118.0.0-166.119.255.255,"19132,25565",JP,0,2025-01-23 20:23:07.565959
13.230.0.0-13.231.255.255,"19132,25565",JP,1,2025-01-23 20:27:34.528603
126.229.0.0-126.230.255.255,"19132,25565",JP,0,2025-01-23 20:32:03.374299
171.2.0.0-171.3.255.255,"19132,25565",JP,0,2025-01-23 20:36:34.749283
120.74.0.0-120.75.255.255,"19132,25565",JP,0,2025-01-23 20:41:44.555943
52.68.0.0-52.69.255.255,"19132,25565",JP,1,2025-01-23 20:46:11.710640
128.27.0.0-128.28.255.255,"19132,25565",JP,0,2025-01-23 20:50:38.044020
163.214.0.0-163.215.255.255,"19132,25565",JP,0,2025-01-23 20:55:06.199295
111.216.0.0-111.217.255.255,"19132,25565",JP,0,2025-01-23 20:59:33.864468
59.146.0.0-59.147.255.255,"19132,25565",JP,0,2025-01-23 21:04:00.588478
131.112.0.0-131.113.255.255,"19132,25565",JP,0,2025-01-23 21:08:28.247550
160.23.0.0-160.24.255.255,"19132,25565",JP,0,2025-01-23 21:12:55.035618
92.202.0.0-92.203.255.255,"19132,25565",JP,0,2025-01-23 21:17:24.512323
160.185.0.0-160.186.255.255,"19132,25565",JP,0,2025-01-23 21:21:50.541054
160.203.0.0-160.204.255.255,"19132,25565",JP,0,2025-01-23 21:26:17.653392
130.33.0.0-130.34.255.255,"19132,25565",JP,0,2025-01-23 21:30:45.062141
160.251.0.0-160.252.255.255,"19132,25565",JP,65,2025-01-23 21:35:14.408777
110.66.0.0-110.67.255.255,"19132,25565",JP,0,2025-01-23 21:39:42.844198
124.44.0.0-124.45.255.255,"19132,25565",JP,0,2025-01-23 21:44:10.938073
118.240.0.0-118.241.255.255,"19132,25565",JP,0,2025-01-23 21:48:38.891344
111.86.0.0-111.87.255.255,"19132,25565",JP,0,2025-01-23 21:53:07.451242
60.192.0.0-60.193.255.255,"19132,25565",JP,0,2025-01-23 21:57:33.926859
4.189.0.0-4.190.255.255,"19132,25565",JP,1,2025-01-23 22:02:01.900706
148.67.0.0-148.68.255.255,"19132,25565",JP,0,2025-01-23 22:06:29.554014
111.168.0.0-111.169.255.255,"19132,25565",JP,0,2025-01-23 22:10:57.115382
172.122.0.0-172.123.255.255,"19132,25565",JP,0,2025-01-23 22:15:25.889720
219.66.0.0-219.67.255.255,"19132,25565",JP,0,2025-01-23 22:19:53.603024
106.72.0.0-106.73.255.255,"19132,25565",JP,0,2025-01-23 22:24:21.419061
43.222.0.0-43.223.255.255,"19132,25565",JP,0,2025-01-23 22:28:48.742082
221.170.0.0-221.171.255.255,"19132,25565",JP,0,2025-01-23 22:33:15.564258
39.110.0.0-39.111.255.255,"19132,25565",JP,1,2025-01-23 22:37:44.837938
39.2.0.0-39.3.255.255,"19132,25565",JP,0,2025-01-23 22:42:12.625251
115.162.0.0-115.163.255.255,"19132,25565",JP,1,2025-01-23 22:46:40.653590
175.108.0.0-175.109.255.255,"19132,25565",JP,0,2025-01-23 22:51:08.423749
115.176.0.0-115.177.255.255,"19132,25565",JP,0,2025-01-23 22:55:36.198635
182.158.0.0-182.159.255.255,"19132,25565",JP,0,2025-01-23 23:00:02.976343
1.66.0.0-1.67.255.255,"19132,25565",JP,0,2025-01-23 23:04:30.533773
14.132.0.0-14.133.255.255,"19132,25565",JP,0,2025-01-23 23:08:59.363817
43.206.0.0-43.207.255.255,"19132,25565",JP,1,2025-01-23 23:13:27.798653
122.196.0.0-122.197.255.255,"19132,25565",JP,0,2025-01-23 23:17:56.339072
116.64.0.0-116.65.255.255,"19132,25565",JP,0,2025-01-23 23:22:24.632788
118.86.0.0-118.87.255.255,"19132,25565",JP,0,2025-01-23 23:26:53.934436
117.108.0.0-117.109.255.255,"19132,25565",JP,0,2025-01-23 23:31:21.777390
180.220.0.0-180.221.255.255,"19132,25565",JP,0,2025-01-23 23:35:50.506671
222.158.0.0-222.159.255.255,"19132,25565",JP,0,2025-01-23 23:40:18.259014
203.165.0.0-203.165.255.255,"19132,25565",JP,0,2025-01-24 12:35:44.522963
141.178.0.0-141.178.255.255,"19132,25565",JP,0,2025-01-24 12:37:57.785883
165.96.0.0-165.96.255.255,"19132,25565",JP,0,2025-01-24 12:40:12.560830
58.70.0.0-58.70.255.255,"19132,25565",JP,0,2025-01-24 12:42:27.082708
167.169.0.0-167.169.255.255,"19132,25565",JP,0,2025-01-24 12:44:41.333537
183.79.0.0-183.79.255.255,"19132,25565",JP,0,2025-01-24 12:46:55.110376
192.50.0.0-192.50.255.255,"19132,25565",JP,0,2025-01-24 12:49:09.003886
165.93.0.0-165.93.255.255,"19132,25565",JP,0,2025-01-24 12:51:22.770295
118.83.0.0-118.83.255.255,"19132,25565",JP,0,2025-01-24 12:53:37.055499
14.101.0.0-14.101.255.255,"19132,25565",JP,0,2025-01-24 12:55:50.638153
165.76.0.0-165.76.255.255,"19132,25565",JP,0,2025-01-24 12:58:05.174573
220.102.0.0-220.102.255.255,"19132,25565",JP,0,2025-01-24 13:00:18.982781
165.14.0.0-165.14.255.255,"19132,25565",JP,0,2025-01-24 13:02:33.101655
126.227.0.0-126.227.255.255,"19132,25565",JP,0,2025-01-24 13:04:47.134463
218.251.0.0-218.251.255.255,"19132,25565",JP,0,2025-01-24 13:07:01.176269
165.102.0.0-165.102.255.255,"19132,25565",JP,0,2025-01-24 13:09:14.821734
143.90.0.0-143.90.255.255,"19132,25565",JP,0,2025-01-24 13:11:28.625027
54.95.0.0-54.95.255.255,"19132,25565",JP,0,2025-01-24 13:13:41.883697
131.147.0.0-131.147.255.255,"19132,25565",JP,0,2025-01-24 13:15:57.095784
34.146.0.0-34.146.255.255,"19132,25565",JP,0,2025-01-24 13:18:11.306789
34.97.0.0-34.97.255.255,"19132,25565",JP,1,2025-01-24 13:20:25.103883
54.238.0.0-54.238.255.255,"19132,25565",JP,0,2025-01-24 13:22:38.979258
143.94.0.0-143.94.255.255,"19132,25565",JP,0,2025-01-24 13:24:53.059413
56.159.0.0-56.159.255.255,"19132,25565",JP,0,2025-01-24 13:27:06.576301
166.100.0.0-166.100.255.255,"19132,25565",JP,0,2025-01-24 13:29:21.160401
54.199.0.0-54.199.255.255,"19132,25565",JP,0,2025-01-24 13:31:36.183011
56.162.0.0-56.162.255.255,"19132,25565",JP,0,2025-01-24 13:33:49.995083
56.164.0.0-56.164.255.255,"19132,25565",JP,0,2025-01-24 13:36:04.301057
122.253.0.0-122.253.255.255,"19132,25565",JP,0,2025-01-24 13:38:19.279015
54.168.0.0-54.168.255.255,"19132,25565",JP,0,2025-01-24 13:40:32.585755
165.108.0.0-165.108.255.255,"19132,25565",JP,0,2025-01-24 13:42:46.661869
54.150.0.0-54.150.255.255,"19132,25565",JP,0,2025-01-24 13:45:00.636831
54.178.0.0-54.178.255.255,"19132,25565",JP,1,2025-01-24 13:47:14.616684
158.217.0.0-158.217.255.255,"19132,25565",JP,0,2025-01-24 13:49:28.745377
139.101.0.0-139.101.255.255,"19132,25565",JP,0,2025-01-24 13:51:42.797622
140.81.0.0-140.81.255.255,"19132,25565",JP,0,2025-01-24 13:53:56.773148
14.193.0.0-14.193.255.255,"19132,25565",JP,0,2025-01-24 13:56:10.740329
137.153.0.0-137.153.255.255,"19132,25565",JP,0,2025-01-24 13:58:24.703787
137.40.0.0-137.40.255.255,"19132,25565",JP,0,2025-01-24 14:00:38.527147
136.187.0.0-136.187.255.255,"19132,25565",JP,0,2025-01-24 14:02:52.553503
131.213.0.0-131.213.255.255,"19132,25565",JP,0,2025-01-24 14:05:05.774345
175.177.0.0-175.177.255.255,"19132,25565",JP,0,2025-01-24 14:07:19.695384
175.179.0.0-175.179.255.255,"19132,25565",JP,0,2025-01-24 14:09:33.754780
134.237.0.0-134.237.255.255,"19132,25565",JP,0,2025-01-24 14:11:47.610750
116.94.0.0-116.94.255.255,"19132,25565",JP,1,2025-01-24 14:14:02.566168
220.153.0.0-220.153.255.255,"19132,25565",JP,0,2025-01-24 14:16:16.612884
131.248.0.0-131.248.255.255,"19132,25565",JP,0,2025-01-24 14:18:30.658722
44.129.0.0-44.129.255.255,"19132,25565",JP,0,2025-01-24 14:20:44.698946
134.180.0.0-134.180.255.255,"19132,25565",JP,0,2025-01-24 14:22:58.718919
43.253.0.0-43.253.255.255,"19132,25565",JP,0,2025-01-24 14:25:12.533568
134.160.0.0-134.160.255.255,"19132,25565",JP,0,2025-01-24 14:27:26.625099
132.179.0.0-132.179.255.255,"19132,25565",JP,0,2025-01-24 14:29:40.670518
122.145.0.0-122.145.255.255,"19132,25565",JP,0,2025-01-24 14:31:54.645691
43.167.0.0-43.167.255.255,"19132,25565",JP,0,2025-01-24 14:34:08.640741
117.46.0.0-117.46.255.255,"19132,25565",JP,0,2025-01-24 14:36:22.672419
132.222.0.0-132.222.255.255,"19132,25565",JP,0,2025-01-24 14:38:36.585358
122.1.0.0-122.1.255.255,"19132,25565",JP,0,2025-01-24 14:40:50.589503
170.105.0.0-170.105.255.255,"19132,25565",JP,0,2025-01-24 14:43:04.599509
48.210.0.0-48.210.255.255,"19132,25565",JP,0,2025-01-24 14:45:18.546888
14.3.0.0-14.3.255.255,"19132,25565",JP,0,2025-01-24 14:47:32.643053
131.206.0.0-131.206.255.255,"19132,25565",JP,0,2025-01-24 14:49:46.651527
139.154.0.0-139.154.255.255,"19132,25565",JP,0,2025-01-24 14:52:00.662321
1.5.0.0-1.5.255.255,"19132,25565",JP,0,2025-01-24 14:54:14.715886
139.152.0.0-139.152.255.255,"19132,25565",JP,0,2025-01-24 14:56:28.653259
120.93.0.0-120.93.255.255,"19132,25565",JP,0,2025-01-24 14:58:42.679829
172.207.0.0-172.207.255.255,"19132,25565",JP,0,2025-01-24 15:00:55.790700
115.65.0.0-115.65.255.255,"19132,25565",JP,0,2025-01-24 15:03:09.586641
143.189.0.0-143.189.255.255,"19132,25565",JP,0,2025-01-24 15:05:23.594666
138.243.0.0-138.243.255.255,"19132,25565",JP,0,2025-01-24 15:07:36.557059
48.218.0.0-48.218.255.255,"19132,25565",JP,0,2025-01-24 15:09:49.608765
210.194.0.0-210.194.255.255,"19132,25565",JP,0,2025-01-24 15:12:02.734867
138.107.0.0-138.107.255.255,"19132,25565",JP,0,2025-01-24 15:14:15.557688
220.159.0.0-220.159.255.255,"19132,25565",JP,0,2025-01-24 15:16:28.635620
49.212.0.0-49.212.255.255,"19132,25565",JP,2,2025-01-24 15:18:42.684375
138.101.0.0-138.101.255.255,"19132,25565",JP,0,2025-01-24 15:20:56.529103
15.168.0.0-15.168.255.255,"19132,25565",JP,5,2025-01-24 15:23:10.698717
49.129.0.0-49.129.255.255,"19132,25565",JP,0,2025-01-24 15:25:24.788098
15.152.0.0-15.152.255.255,"19132,25565",JP,1,2025-01-24 15:27:38.718713
115.179.0.0-115.179.255.255,"19132,25565",JP,0,2025-01-24 15:29:52.818365
138.64.0.0-138.64.255.255,"19132,25565",JP,0,2025-01-24 15:32:06.673884
138.212.0.0-138.212.255.255,"19132,25565",JP,0,2025-01-24 15:34:20.710146
58.98.0.0-58.98.255.255,"19132,25565",JP,0,2025-01-24 15:36:34.750560
160.237.0.0-160.237.255.255,"19132,25565",JP,0,2025-01-24 15:38:48.540190
143.201.0.0-143.201.255.255,"19132,25565",JP,0,2025-01-24 15:41:02.564962
125.170.0.0-125.170.255.255,"19132,25565",JP,0,2025-01-24 15:43:16.624294
20.210.0.0-20.210.255.255,"19132,25565",JP,0,2025-01-24 15:45:30.675182
130.158.0.0-130.158.255.255,"19132,25565",JP,0,2025-01-24 15:47:44.716729
157.19.0.0-157.19.255.255,"19132,25565",JP,0,2025-01-24 15:49:58.752502
130.54.0.0-130.54.255.255,"19132,25565",JP,0,2025-01-24 15:52:13.090566
119.83.0.0-119.83.255.255,"19132,25565",JP,0,2025-01-24 15:54:26.572783
123.198.0.0-123.198.255.255,"19132,25565",JP,0,2025-01-24 15:56:40.685032
